Date,Open,High,Low,Close,Adj Close,Volume
2021-01-23,0.509981,0.570024,0.503464,0.557057,0.557057,196103379
2021-01-24,0.556987,0.580891,0.552065,0.563449,0.563449,189233850
2021-01-25,0.563429,0.632630,0.551553,0.558247,0.558247,277194483
2021-01-26,0.557422,0.619116,0.538625,0.601622,0.601622,234028040
2021-01-27,0.600986,0.601457,0.526318,0.543153,0.543153,211490314
2021-01-28,0.543186,0.577802,0.528348,0.561167,0.561167,200013864
2021-01-29,0.564472,0.679132,0.553369,0.640950,0.640950,377660793
2021-01-30,0.640573,0.700316,0.615082,0.663792,0.663792,382878779
2021-01-31,0.664226,0.697306,0.624308,0.651248,0.651248,309348318
2021-02-01,0.650958,0.665226,0.619758,0.643448,0.643448,253555579
2021-02-02,0.643671,0.671501,0.627644,0.652656,0.652656,218901999
2021-02-03,0.652352,0.747987,0.648919,0.740834,0.740834,314896934
2021-02-04,0.742528,0.756988,0.675076,0.707506,0.707506,357906069
2021-02-05,0.707639,0.888542,0.700379,0.834116,0.834116,538956814
2021-02-06,0.833583,0.862729,0.746148,0.810865,0.810865,439952226
2021-02-07,0.810769,0.874891,0.774146,0.845040,0.845040,453238754
2021-02-08,0.844747,1.086227,0.844304,1.010607,1.010607,987137198
2021-02-09,1.007470,1.076383,0.966688,1.029017,1.029017,730369062
2021-02-10,1.029022,1.047673,0.921836,1.032090,1.032090,629613749
2021-02-11,1.032197,1.298788,1.032197,1.249717,1.249717,1240723518
2021-02-12,1.245440,1.824609,1.181595,1.712424,1.712424,2098583771
2021-02-13,1.717734,1.793118,1.376269,1.669695,1.669695,1617380782
2021-02-14,1.671228,1.684809,1.415224,1.472092,1.472092,958023564
2021-02-15,1.471586,1.544167,1.222737,1.350877,1.350877,1282829302
2021-02-16,1.350012,1.465972,1.275415,1.313528,1.313528,849383982
2021-02-17,1.313814,1.415026,1.204983,1.369261,1.369261,918368743
2021-02-18,1.368630,1.446997,1.356021,1.400669,1.400669,613260929
2021-02-19,1.400868,1.425862,1.307172,1.374461,1.374461,587922601
2021-02-20,1.373926,1.487833,1.254583,1.313997,1.313997,801624385
2021-02-21,1.312256,1.351765,1.271526,1.308164,1.308164,408227703
2021-02-22,1.308482,1.313716,0.949464,1.144450,1.144450,786990096
2021-02-23,1.144197,1.146632,0.841700,0.999798,0.999798,879735912
2021-02-24,1.002263,1.175243,0.956518,1.061761,1.061761,604870974
2021-02-25,1.061886,1.145606,0.976009,0.976009,0.976009,529090407
2021-02-26,0.978923,1.048893,0.904270,0.971286,0.971286,490080858
2021-02-27,0.972105,1.184678,0.972105,1.098628,1.098628,546790290
2021-02-28,1.098499,1.127647,0.952661,1.017224,1.017224,598035361
2021-03-01,1.019401,1.105371,1.010675,1.088458,1.088458,425868521
2021-03-02,1.088641,1.165859,1.043427,1.080691,1.080691,552897940
2021-03-03,1.081396,1.221840,1.060158,1.182144,1.182144,638690035
2021-03-04,1.182110,1.247893,1.053293,1.093431,1.093431,558601276
2021-03-05,1.092255,1.094815,1.009108,1.058036,1.058036,415618857
2021-03-06,1.056707,1.070731,1.009308,1.054034,1.054034,269458490
2021-03-07,1.053932,1.136854,1.052626,1.103649,1.103649,319268550
2021-03-08,1.104841,1.164741,1.064839,1.152908,1.152908,379936908
2021-03-09,1.153690,1.184335,1.119329,1.180618,1.180618,404449001
2021-03-10,1.180801,1.228513,1.084679,1.109995,1.109995,439787738
2021-03-11,1.107857,1.124575,1.054542,1.082897,1.082897,331685164
2021-03-12,1.083740,1.150282,1.034534,1.052105,1.052105,455285823
2021-03-13,1.052352,1.168364,1.017516,1.139641,1.139641,424560368
2021-03-14,1.139254,1.169191,1.091122,1.130390,1.130390,404746123
2021-03-15,1.127212,1.337693,1.117389,1.196815,1.196815,1215427012
2021-03-16,1.194766,1.245490,1.131221,1.200564,1.200564,632910988
2021-03-17,1.202880,1.295041,1.157839,1.295041,1.295041,443468960
2021-03-18,1.290841,1.377766,1.243562,1.262335,1.262335,602618872
2021-03-19,1.260690,1.311205,1.217503,1.253208,1.253208,295857156
2021-03-20,1.253640,1.316920,1.206830,1.206830,1.206830,284449961
2021-03-21,1.209275,1.235855,1.155722,1.181771,1.181771,278155215
2021-03-22,1.181683,1.227552,1.091732,1.108540,1.108540,287231851
2021-03-23,1.107675,1.159414,1.069207,1.113125,1.113125,305034134
2021-03-24,1.112621,1.184890,1.004067,1.033461,1.033461,355602691
2021-03-25,1.031889,1.077114,0.988114,1.045247,1.045247,371973364
2021-03-26,1.045203,1.125637,1.042466,1.117808,1.117808,204442462
2021-03-27,1.117801,1.217014,1.095502,1.159593,1.159593,350800206
